Computer_Name,Last_Logged_User,Product_Name,Publisher,License_Code,MSE
A-SRI-SURATIH_HC,mk.A.Suratih,Windows 10 Pro for Workstations,proDAD GmbH,00214-30000-00000-AA207,0.000878628184448
ADEY-ADMINLHD,mk.hermina.siwi,proDAD Vitascene 2.0 (64bit),proDAD GmbH,00214-30000-00000-AA584,0.001048537479493
adhitya_ops,adhitya.firdaus,SoMove,Schneider Electric,00214-30000-00000-AA630,0.0003361222411991
Adiguna-OE,Adhiguna.Nugraha,Microsoft SQL Server,proDAD GmbH,00214-30000-00000-AA759,0.0003801482438049
ADIHUTOMO_LMB,mk.adhi.hutomo,Windows Server 2016 Standard,Schneider Electric,00331-20350-48304-AA289,0.0003028373209703
ADIKRIS_LMB,adi.kriswanto,Windows 10 Pro for Workstations,proDAD GmbH,12345-679-1111111-95315,0.0004451400903218
ADILPUTRA_LMB,mk.adil.putra,proDAD Vitascene 2.0 (64bit),proDAD GmbH,00214-30000-00000-AA882,0.0006431840404808
ADM-ENG,type-4,Windows Server 2016 Standard,Schneider Electric,00219-40000-00000-AA074,0.0007590494698369
ADM-General1,mk.anisa.afifah,Windows Server 2016 Standard,Schneider Electric,00355-63081-96325-AAOEM,0.0008589068600593
ADM-HUKMAS1,dindin.k,proDAD Vitascene 2.0 (64bit),proDAD GmbH,00219-40000-00000-AA185,0.0004420181862994
ADM-SCM1,mikeu.natalia,Windows Server 2016 Standard,Schneider Electric,00219-40000-00000-AA265,0.0007717181836459
Agusdian-oe,Dian.Agus,SoMove,proDAD GmbH,00330-51007-29486-AAOEM,0.0005391552294285
AgusSetio-KEU,mk.agus.setiono,Windows Server 2016 Standard,Schneider Electric,00330-53473-77634-AAOEM,0.0003195916002601
AgusSobur_LMB,Agus.Sobur,SoMove,Schneider Electric,00330-54263-42669-AAOEM,0.0003750883438784
ahmadghifari-IA,mk.ahmad.ghifari,Windows Server 2016 Standard,Schneider Electric,00330-54263-95433-AAOEM,0.0008050593167743
AlamkelanaExplr,mk.alamkelana.i,SoMove,Schneider Electric,00330-54300-54272-AAOEM,0.0003047051002032
albarosyah-opslhd,m.albarrosyah,proDAD Vitascene 2.0 (64bit),proDAD GmbH,12345-679-1111111-95315,0.0009731837967852
ALIM-MTCKRH,Achmad.Ardialim,Microsoft Visio Professional 2013,proDAD GmbH,00330-54300-60248-AAOEM,0.0004005195736103
AmeliaWidya,amelia.widya,proDAD Vitascene 2.0 (64bit),proDAD GmbH,00330-54300-65596-AAOEM,0.0011767090946672
AndiM-Drilling,andi.mangkona,Microsoft Office Professional Plus 2021 - en-us,Schneider Electric,12345-679-1111111-86416,0.0008535778282283
Andrian-HC,andriant,Windows 10 Pro for Workstations,proDAD GmbH,00330-54410-02796-AAOEM,0.0009896917387722
AndriR-GPRKRH,mk.syaripudin,Windows Server 2016 Standard,Schneider Electric,00330-54410-02802-AAOEM,0.000297422802813
ANGGI_LMB,mk.anggi.arlintar,Windows 10 Pro for Workstations,proDAD GmbH,00330-54410-02823-AAOEM,0.000746640534472
anita-Geosc,Anitafsa,proDAD Vitascene 2.0 (64bit),proDAD GmbH,00330-80000-00000-AA135,0.0006558369936666
AnitaYuli,mk.Anita.Yuli,Windows 10 Pro for Workstations,proDAD GmbH,00330-80000-00000-AA202,0.0004945897526567
Apriyansah-ManPEKRH,apriyansah,Microsoft 365 - en-us,Schneider Electric,SolidWorks,0.0005749185823429
Ardiyanto-LHD,ardiyanto.fajar,proDAD Vitascene 2.0 (64bit),proDAD GmbH,00330-80000-00000-AA610,0.0008050584973351
AriDS-SPBD,ari.sadewo,SoMove,Schneider Electric,00330-80000-00000-AA732,0.0008636244521074
Arifsbudi-HSSE,Arif.SBudi,Windows Server 2016 Standard,Schneider Electric,00330-80000-00000-AA837,0.0007081288904886
Ariyadi-LMB,Ariyadi,SoMove,proDAD GmbH,00331-20350-00000-AA120,0.0004359906137248
AseJ-SCMKRH,mk.asey.jaenudin,Windows 10 Pro for Workstations,proDAD GmbH,00331-20350-00000-AA314,0.0007715821175784
ASEPAR_LMB,Asep.Solihat,proDAD Vitascene 2.0 (64bit),proDAD GmbH,12345-679-1111111-95315,0.0009745237947733
AsepBurhanudin-ENG,Asep.yusup,WIA,proDAD GmbH,00331-20350-00000-AA683,0.00035868669724
astri-scm,astri_p,Windows 10 Pro for Workstations,proDAD GmbH,00331-20350-48304-AA013,0.0017778317210532
AZHARISURYA_LMB,azhari.surya,WIA,Schneider Electric,00338-00000-00000-AA366,0.0004420181862994
AZKA-BS,mk.azka.humanisa,Windows 10 Pro for Workstations,proDAD GmbH,00338-00000-00000-AA624,0.0006181010389683
